part_file,normal_x,normal_y,normal_z,plane_offset_mm,patch_area_mm2,n_triangles,bbox_u_mm,bbox_v_mm,fill_ratio,largest_inscribed_square_mm,square1_cx_mm,square1_cy_mm,square1_cz_mm,second_square_mm,square2_cx_mm,square2_cy_mm,square2_cz_mm,pair_baseline_mm,centroid_x_mm,centroid_y_mm,centroid_z_mm
Alt_Kapak.stl,-0.6096,0.7927,0.0000,24.95,179.7,9,39.90,4.72,0.954,5.20,-15.40,19.63,26.90,5.20,-15.40,19.63,20.10,6.80,-15.62,19.46,21.70
Alt_Kapak.stl,0.6841,0.7294,0.0000,24.96,168.1,6,39.90,4.25,0.990,4.80,16.93,18.34,41.10,4.80,16.93,18.34,34.70,6.40,17.13,18.16,23.55
Alt_Kapak.stl,0.6841,-0.7294,-0.0000,24.96,168.1,6,39.90,4.26,0.990,4.80,16.93,-18.34,6.00,4.80,16.93,-18.34,12.40,6.40,17.13,-18.16,23.55
Alt_Kapak.stl,0.8876,0.4607,0.0000,24.96,168.1,6,39.90,4.24,0.995,4.80,22.04,11.72,41.10,4.80,22.04,11.72,34.70,6.40,22.17,11.47,23.55
Alt_Kapak.stl,0.8876,-0.4607,0.0000,24.96,168.1,6,39.90,4.23,0.995,4.80,22.04,-11.72,6.00,4.80,22.04,-11.72,12.40,6.40,22.17,-11.47,23.55
Alt_Kapak.stl,-0.3061,-0.9520,0.0000,24.96,168.1,6,39.90,4.32,0.976,4.80,-7.87,-23.69,6.00,4.80,-7.87,-23.69,12.40,6.40,-7.63,-23.77,23.55
Alt_Kapak.stl,-0.3061,0.9520,0.0000,24.96,168.1,6,39.90,4.32,0.976,4.80,-7.87,23.69,41.10,4.80,-7.87,23.69,34.70,6.40,-7.63,23.77,23.55
Alt_Kapak.stl,0.2934,0.9560,-0.0000,24.96,168.1,6,39.90,4.28,0.984,4.80,7.29,23.87,41.10,4.80,7.29,23.87,34.70,6.40,7.55,23.80,23.55
Alt_Kapak.stl,0.2934,-0.9560,-0.0000,24.96,168.1,6,39.90,4.28,0.984,4.80,7.29,-23.87,6.00,4.80,7.29,-23.87,12.40,6.40,7.55,-23.80,23.55
Alt_Kapak.stl,-0.9165,0.4000,0.0001,25.05,61.4,8,22.00,41.07,0.068,4.80,-22.98,9.95,41.10,4.80,-22.98,9.95,34.70,6.40,-26.75,1.31,33.75
Alt_Kapak.stl,-0.9165,-0.4000,0.0001,25.05,61.4,8,22.00,41.07,0.068,4.80,-22.77,-10.44,41.10,4.40,-22.85,-10.26,34.90,6.20,-26.75,-1.31,33.75
Alt_Kapak.stl,0.0005,-1.0000,0.0000,56.83,556.3,202,10.00,145.28,0.383,4.40,135.44,-56.77,2.20,4.40,129.84,-56.77,2.20,5.60,67.27,-56.80,6.38
Alt_Kapak.stl,0.0005,1.0000,0.0000,56.83,556.3,202,10.00,145.28,0.383,4.40,135.84,56.76,1.80,4.40,130.24,56.77,1.80,5.60,67.18,56.80,6.31
Alt_Kapak.stl,-0.9880,0.1544,0.0001,-20.05,166.0,8,43.50,48.62,0.078,4.40,19.76,-3.40,41.30,4.40,19.76,-3.40,35.70,5.60,21.60,8.36,16.69
Alt_Kapak.stl,-1.0000,-0.0000,0.0006,45.01,157.7,8,25.90,51.70,0.118,4.00,-44.99,23.85,27.50,4.00,-44.99,23.85,22.30,5.20,-45.00,0.00,12.77
Alt_Kapak.stl,0.8876,0.4607,0.0000,-20.06,164.8,6,43.50,3.78,1.001,4.00,-17.93,-9.01,41.50,4.00,-17.93,-9.01,36.30,5.20,-17.88,-9.11,21.75
Alt_Kapak.stl,0.8876,-0.4607,0.0000,-20.06,164.8,6,43.50,3.78,1.001,4.00,-17.93,9.01,2.00,4.00,-17.93,9.01,7.20,5.20,-17.88,9.11,21.75
Alt_Kapak.stl,-0.6096,-0.7927,0.0000,-20.06,164.8,6,43.50,3.78,1.001,4.00,12.21,15.92,2.00,4.00,12.21,15.92,7.20,5.20,12.30,15.85,21.75
Alt_Kapak.stl,-0.6096,0.7927,0.0000,-20.06,164.8,6,43.50,3.78,1.001,4.00,12.21,-15.92,41.50,4.00,12.21,-15.92,36.30,5.20,12.30,-15.85,21.75
Alt_Kapak.stl,0.2934,0.9560,-0.0000,-20.06,164.8,6,43.50,3.78,1.001,4.00,-5.70,-19.23,41.50,4.00,-5.70,-19.23,36.30,5.20,-5.60,-19.27,21.75
Alt_Kapak.stl,0.2934,-0.9560,-0.0000,-20.06,164.8,6,43.50,3.78,1.001,4.00,-5.70,19.23,2.00,4.00,-5.70,19.23,7.20,5.20,-5.60,19.27,21.75
Alt_Kapak.stl,-0.7509,-0.6604,0.0001,-20.06,164.8,6,43.50,3.79,1.000,4.00,14.98,13.35,2.00,4.00,14.98,13.35,7.20,5.20,15.05,13.27,21.75
Alt_Kapak.stl,-0.7509,0.6604,0.0001,-20.06,164.8,6,43.50,3.79,1.000,4.00,14.98,-13.35,41.50,4.00,14.98,-13.35,36.30,5.20,15.05,-13.27,21.75
Alt_Govde.stl,0.0000,0.0000,-1.0000,10.00,11097.5,310,119.98,120.00,0.771,46.80,-32.20,0.19,-10.00,38.40,26.00,20.39,-10.00,61.61,-2.48,-0.20,-10.00
Alt_Govde.stl,-0.0002,0.0002,1.0000,0.00,8119.0,243,114.00,114.00,0.625,38.80,34.40,0.00,0.01,38.40,-21.00,0.20,-0.00,55.40,-8.46,-0.63,0.00
